time,predicted_value
2014-12-01,30.550010001999997
2014-12-02,31.748857222000126
2014-12-03,28.773233333999848
2014-12-04,39.484491114000065
2014-12-05,33.34250277799988
2014-12-06,36.470153330999835
2014-12-07,26.486584998999838
2014-12-08,23.01397999999988
2014-12-09,27.954351110999852
2014-12-10,37.4226250020001
2014-12-11,35.18271166900004
2014-12-12,24.209088335000054
2014-12-13,20.45544000100009
2014-12-14,19.821202780000085
2014-12-15,41.912526108000094
2014-12-16,20.712163333999875
2014-12-17,21.802122777999863
2014-12-18,19.836074999000072
2014-12-19,32.80281889100007
2014-12-20,34.296287221000114
2014-12-21,21.058376111999856
2014-12-22,27.362026663999846
2014-12-23,19.38713610999988
2014-12-24,27.68224555799985
2014-12-25,40.26813221799996
2014-12-26,44.56340000300008
2014-12-27,35.046126665
2014-12-28,37.69582444699998
2014-12-29,28.675929444000097
2014-12-30,31.514312775000114
2014-12-31,28.674498335000038
